MyPaddlePosition	MyPaddleIsRight	MyPaddleIsLeft	MyPaddleIsStill	MyPaddleTimeAsIs	OpponentPaddle	OpponentVelocity	BallPositionX	BallPositionY	BallVelocityX	BallVelocityY	
"-0.04000016"	"0"	"0"	"1"	"0.1048326"	"-2"	"0"	"0"	"-0.24"	"0"	"-3"	
"-0.04000016"	"0"	"0"	"1"	"0.1142473"	"-2"	"0"	"0"	"-0.24"	"0"	"-3"	
"-0.04000016"	"0"	"0"	"1"	"0.1239624"	"-2"	"0"	"0"	"-0.3"	"0"	"-3"	
"-0.04000016"	"0"	"0"	"1"	"0.1342335"	"-2"	"0"	"0"	"-0.3"	"0"	"-3"	
"-0.04000016"	"0"	"0"	"1"	"0.1436853"	"-2"	"0"	"0"	"-0.36"	"0"	"-3"	
"-0.04000016"	"0"	"0"	"1"	"0.153965"	"-2"	"0"	"0"	"-0.36"	"0"	"-3"	
"-0.04000016"	"0"	"0"	"1"	"0.1642256"	"-2"	"0"	"0"	"-0.42"	"0"	"-3"	
"-0.04000016"	"0"	"0"	"1"	"0.17694"	"-2"	"0"	"0"	"-0.42"	"0"	"-3"	
"-0.04000016"	"0"	"0"	"1"	"0.1903486"	"-2"	"0"	"0"	"-0.48"	"0"	"-3"	
"-0.04000016"	"0"	"0"	"1"	"0.1997538"	"-2"	"0"	"0"	"-0.48"	"0"	"-3"	
"-0.04000016"	"0"	"0"	"1"	"0.2367315"	"-1.94"	"-3"	"0"	"-0.6"	"0"	"-3"	
"-0.04000016"	"0"	"0"	"1"	"0.2501087"	"-1.88"	"-3"	"0"	"-0.66"	"0"	"-3"	
"-0.04000016"	"0"	"0"	"1"	"0.259696"	"-1.88"	"-3"	"0"	"-0.66"	"0"	"-3"	
"-0.04000016"	"0"	"0"	"1"	"0.2690649"	"-1.82"	"-3"	"0"	"-0.72"	"0"	"-3"	
"-0.04000016"	"0"	"0"	"1"	"0.2781963"	"-1.82"	"-3"	"0"	"-0.72"	"0"	"-3"	
"-0.04000016"	"0"	"0"	"1"	"0.2924604"	"-1.76"	"-3"	"0"	"-0.78"	"0"	"-3"	
