MyPaddlePosition	MyPaddleIsRight	MyPaddleIsLeft	MyPaddleIsStill	MyPaddleTimeAsIs	OpponentPaddle	OpponentVelocity	BallPositionX	BallPositionY	BallVelocityX	BallVelocityY	
"-1.058773"	"0"	"1"	"0"	"0"	"1.425687"	"0"	"-1.036898"	"0.1116516"	"0.1928037"	"3.472875"	
"-1.138773"	"0"	"0"	"1"	"0"	"1.425687"	"0"	"-1.017618"	"0.4589391"	"0.1928037"	"3.472875"	
"-1.138773"	"0"	"0"	"1"	"0.1020565"	"1.365687"	"3"	"-0.9983374"	"0.8062265"	"0.1928037"	"3.472875"	
"-0.8987728"	"1"	"0"	"0"	"0"	"1.065688"	"3"	"-0.9790571"	"1.153514"	"0.1928037"	"3.472875"	
"-0.7387729"	"0"	"0"	"1"	"0"	"0.7656878"	"0"	"-0.9597768"	"1.500802"	"0.1928037"	"3.472875"	
"-0.7387729"	"0"	"0"	"1"	"0.1054602"	"0.7656878"	"0"	"-0.9404964"	"1.848089"	"0.1928037"	"3.472875"	
"-1.138773"	"0"	"1"	"0"	"0"	"0.7618318"	"0.09640186"	"-0.9258006"	"2.112689"	"-0.325624"	"-3.646518"	
"-1.138773"	"0"	"0"	"1"	"0"	"0.7521916"	"0.09640186"	"-0.9583629"	"1.748038"	"-0.325624"	"-3.646518"	
"-1.138773"	"1"	"0"	"0"	"0"	"0.7425514"	"0.09640186"	"-0.9909252"	"1.383386"	"-0.325624"	"-3.646518"	
"-0.7387729"	"0"	"0"	"1"	"0"	"0.9167674"	"-3"	"-1.03"	"0.9458041"	"-0.325624"	"-3.646518"	
"-0.7387729"	"0"	"0"	"1"	"0.1068401"	"1.216767"	"-3"	"-1.062563"	"0.5811524"	"-0.325624"	"-3.646518"	
"-0.8187729"	"0"	"1"	"0"	"0"	"1.336767"	"0"	"-1.095125"	"0.2165006"	"-0.325624"	"-3.646518"	
"-1.218773"	"0"	"1"	"0"	"0.1010189"	"1.336767"	"0"	"-1.127688"	"-0.1481512"	"-0.325624"	"-3.646518"	
"-1.618773"	"0"	"0"	"1"	"0"	"1.336767"	"0"	"-1.160251"	"-0.512803"	"-0.325624"	"-3.646518"	
"-1.618773"	"0"	"0"	"1"	"0.1021376"	"1.336767"	"0"	"-1.192813"	"-0.8774548"	"-0.325624"	"-3.646518"	
"-1.538773"	"1"	"0"	"0"	"0"	"1.336767"	"0"	"-1.231888"	"-1.315037"	"-0.325624"	"-3.646518"	
"-1.058773"	"1"	"0"	"0"	"0.1222153"	"1.336767"	"0"	"-1.270964"	"-1.752619"	"-0.325624"	"-3.646518"	
"-0.8187729"	"0"	"0"	"1"	"0"	"1.336767"	"0"	"-1.303526"	"-2.11727"	"-0.325624"	"-3.646518"	
"-0.8187729"	"0"	"0"	"1"	"0.1031227"	"1.336767"	"0"	"0"	"-0.06"	"0"	"-3"	
"-0.5787729"	"1"	"0"	"0"	"0"	"1.336767"	"0"	"0"	"-0.42"	"0"	"-3"	
"-0.178773"	"1"	"0"	"0"	"0.1055193"	"1.276767"	"3"	"0"	"-0.72"	"0"	"-3"	
"0.221227"	"1"	"0"	"0"	"0.2072334"	"0.9767674"	"3"	"0"	"-1.02"	"0"	"-3"	
"0.381227"	"0"	"0"	"1"	"0"	"0.6767673"	"3"	"0"	"-1.32"	"0"	"-3"	
"0.381227"	"0"	"0"	"1"	"0.1047716"	"0.3767673"	"3"	"0"	"-1.619999"	"0"	"-3"	
"0.141227"	"0"	"1"	"0"	"0"	"0.07676733"	"3"	"0"	"-1.919999"	"0"	"-3"	
"-0.3050392"	"0"	"1"	"0"	"0"	"-0.2232327"	"0"	"0.00600738"	"-2.122694"	"0.7964345"	"3.15"	
"-0.4174142"	"0"	"0"	"1"	"0"	"-0.2232327"	"0"	"0.08565083"	"-1.807694"	"0.7964345"	"3.15"	
"-0.4174142"	"0"	"0"	"1"	"0.1032648"	"-0.2232327"	"0"	"0.1652943"	"-1.492695"	"0.7964345"	"3.15"	
"-0.1774142"	"1"	"0"	"0"	"0"	"-0.2232327"	"0"	"0.2449377"	"-1.177695"	"0.7964345"	"3.15"	
"0.2225858"	"1"	"0"	"0"	"0.1061535"	"-0.2232327"	"0"	"0.3245811"	"-0.862695"	"0.7964345"	"3.15"	
"0.7025857"	"1"	"0"	"0"	"0.2131472"	"-0.3432327"	"3"	"0.4201532"	"-0.4846952"	"0.7964345"	"3.15"	
"0.7825857"	"0"	"0"	"1"	"0"	"-0.6432326"	"3"	"0.4997967"	"-0.1696952"	"0.7964345"	"3.15"	
"0.7825857"	"0"	"0"	"1"	"0.1033096"	"-0.8832327"	"0"	"0.5794401"	"0.1453048"	"0.7964345"	"3.15"	
