MyPaddlePosition	MyPaddleTimeAsIs	OpponentPaddle	OpponentVelocity	BallPositionX	BallPositionY	BallVelocityX	BallVelocityY	IsPaddleStart	IsPaddleStop	IsPaddleContinuing	IsPaddleLeft	IsPaddleRight	
"-2"	"2.018018"	"1"	"0"	"0"	"-0.3"	"0"	"-3"	"0"	"0"	"1"	"0"	"0"	
"-2"	"2.122646"	"1"	"0"	"0"	"-0.6"	"0"	"-3"	"0"	"0"	"1"	"0"	"0"	
"-2"	"2.238001"	"1"	"0"	"0"	"-0.96"	"0"	"-3"	"0"	"0"	"1"	"0"	"0"	
"-1.52"	"0"	"1"	"0"	"0"	"-1.32"	"0"	"-3"	"1"	"0"	"0"	"0"	"1"	
"-1.12"	"0.1031575"	"1"	"0"	"0"	"-1.619999"	"0"	"-3"	"0"	"0"	"1"	"0"	"1"	
"-0.7199996"	"0.2069259"	"1"	"0"	"0"	"-1.919999"	"0"	"-3"	"0"	"0"	"1"	"0"	"1"	
"-0.3199996"	"0.3099709"	"1"	"0"	"0"	"-2.185694"	"1.066665"	"3.15"	"0"	"0"	"1"	"0"	"1"	
"-0.07999964"	"0"	"1"	"0"	"0.1066665"	"-1.870694"	"1.066665"	"3.15"	"0"	"1"	"0"	"0"	"0"	
"-0.07999964"	"0.1038527"	"1"	"0"	"0.2133331"	"-1.555695"	"1.066665"	"3.15"	"0"	"0"	"1"	"0"	"0"	
"-0.07999964"	"0.2082853"	"0.76"	"3"	"0.3413329"	"-1.177695"	"1.066665"	"3.15"	"0"	"0"	"1"	"0"	"0"	
"-0.07999964"	"0.3102107"	"0.46"	"3"	"0.4479994"	"-0.862695"	"1.066665"	"3.15"	"0"	"0"	"1"	"0"	"0"	
"-0.07999964"	"0.4108977"	"0.16"	"3"	"0.554666"	"-0.5476952"	"1.066665"	"3.15"	"0"	"0"	"1"	"0"	"0"	
"-0.07999964"	"0.516582"	"-0.14"	"3"	"0.6613327"	"-0.2326952"	"1.066665"	"3.15"	"0"	"0"	"1"	"0"	"0"	
"-0.07999964"	"0.6205726"	"-0.44"	"3"	"0.7679994"	"0.08230478"	"1.066665"	"3.15"	"0"	"0"	"1"	"0"	"0"	
"-0.07999964"	"0.7260346"	"-0.8"	"3"	"0.8959994"	"0.4603047"	"1.066665"	"3.15"	"0"	"0"	"1"	"0"	"0"	
"-0.07999964"	"0.8463016"	"-1.16"	"3"	"1.023999"	"0.8383045"	"1.066665"	"3.15"	"0"	"0"	"1"	"0"	"0"	
"-0.07999964"	"0.9486709"	"-1.16"	"0"	"1.130666"	"1.153304"	"1.066665"	"3.15"	"0"	"0"	"1"	"0"	"0"	
"-0.07999964"	"1.052986"	"-1.16"	"0"	"1.237333"	"1.468304"	"1.066665"	"3.15"	"0"	"0"	"1"	"0"	"0"	
"-0.07999964"	"1.172476"	"-1.16"	"0"	"1.365333"	"1.846304"	"1.066665"	"3.15"	"0"	"0"	"1"	"0"	"0"	
"-0.07999964"	"0"	"-1.16"	"0"	"1.472"	"2.161304"	"1.066665"	"3.15"	"1"	"0"	"0"	"0"	"1"	
"0.3200004"	"0.1001225"	"-1.16"	"0"	"1.667555"	"1.921111"	"2.177775"	"-3.3075"	"0"	"0"	"1"	"0"	"1"	
"0.7200003"	"0.2032022"	"-1.16"	"0"	"1.885332"	"1.590361"	"2.177775"	"-3.3075"	"0"	"0"	"1"	"0"	"1"	
"1.12"	"0.304781"	"-1.16"	"0"	"2.10311"	"1.259612"	"2.177775"	"-3.3075"	"0"	"0"	"1"	"0"	"1"	
"1.600001"	"0.4108658"	"-1.16"	"0"	"2.241484"	"0.8627117"	"-2.177775"	"-3.3075"	"0"	"0"	"1"	"0"	"1"	
"1.920001"	"0"	"-1.16"	"0"	"2.023706"	"0.5319617"	"-2.177775"	"-3.3075"	"0"	"1"	"0"	"0"	"0"	
"1.920001"	"0.1029434"	"-1.16"	"0"	"1.805929"	"0.2012116"	"-2.177775"	"-3.3075"	"0"	"0"	"1"	"0"	"0"	
"1.920001"	"0.2037668"	"-1.16"	"0"	"1.588151"	"-0.1295383"	"-2.177775"	"-3.3075"	"0"	"0"	"1"	"0"	"0"	
"1.600001"	"0"	"-1.16"	"0"	"1.370374"	"-0.4602883"	"-2.177775"	"-3.3075"	"1"	"0"	"0"	"1"	"0"	
"1.2"	"0.1001759"	"-1.16"	"0"	"1.152596"	"-0.7910384"	"-2.177775"	"-3.3075"	"0"	"0"	"1"	"1"	"0"	
"0.8000003"	"0.2062845"	"-1.16"	"0"	"0.9348187"	"-1.121788"	"-2.177775"	"-3.3075"	"0"	"0"	"1"	"1"	"0"	
"0.6400003"	"0"	"-1.16"	"0"	"0.6734858"	"-1.518688"	"-2.177775"	"-3.3075"	"0"	"1"	"0"	"0"	"0"	
"0.5600003"	"0"	"-1.16"	"0"	"0.4557083"	"-1.849438"	"-2.177775"	"-3.3075"	"1"	"0"	"0"	"1"	"0"	
"0.3200004"	"0"	"-1.16"	"0"	"0.2379308"	"-2.180188"	"-2.177775"	"-3.3075"	"0"	"1"	"0"	"0"	"0"	
"0.3200004"	"0.1024427"	"-1.16"	"0"	"-0.01334678"	"-1.902616"	"-2.596526"	"3.472875"	"0"	"0"	"1"	"0"	"0"	
"0.3200004"	"0.2056904"	"-1.16"	"0"	"-0.2729993"	"-1.555328"	"-2.596526"	"3.472875"	"0"	"0"	"1"	"0"	"0"	
"0.3200004"	"0.3098745"	"-1.04"	"-3"	"-0.5326519"	"-1.208041"	"-2.596526"	"3.472875"	"0"	"0"	"1"	"0"	"0"	
"0.3200004"	"0.4116468"	"-0.6799999"	"-3"	"-0.8442348"	"-0.7912958"	"-2.596526"	"3.472875"	"0"	"0"	"1"	"0"	"0"	
"0.3200004"	"0.5329409"	"-0.3199999"	"-3"	"-1.155818"	"-0.3745509"	"-2.596526"	"3.472875"	"0"	"0"	"1"	"0"	"0"	
"0.3200004"	"0.6383753"	"-0.01999993"	"-3"	"-1.415471"	"-0.02726339"	"-2.596526"	"3.472875"	"0"	"0"	"1"	"0"	"0"	
"0.3200004"	"0.7383251"	"0.2800001"	"-3"	"-1.675123"	"0.3200241"	"-2.596526"	"3.472875"	"0"	"0"	"1"	"0"	"0"	
"0.3200004"	"0.8467884"	"0.58"	"-3"	"-1.934776"	"0.6673115"	"-2.596526"	"3.472875"	"0"	"0"	"1"	"0"	"0"	
"0.3200004"	"0.950655"	"0.8800001"	"-3"	"-2.194428"	"1.014599"	"-2.596526"	"3.472875"	"0"	"0"	"1"	"0"	"0"	
"0.3200004"	"1.051594"	"1.24"	"-3"	"-2.077317"	"1.431344"	"2.596526"	"3.472875"	"0"	"0"	"1"	"0"	"0"	
"0.3200004"	"1.152581"	"1.539999"	"-3"	"-1.817665"	"1.778632"	"2.596526"	"3.472875"	"0"	"0"	"1"	"0"	"0"	
"0.3200004"	"1.254934"	"1.839999"	"-3"	"-1.558012"	"2.125919"	"2.596526"	"3.472875"	"0"	"0"	"1"	"0"	"0"	
"0.3200004"	"1.36093"	"2.019999"	"0"	"-1.19719"	"1.966829"	"4.282686"	"-3.646518"	"0"	"0"	"1"	"0"	"0"	
"0.3200004"	"1.462627"	"2.019999"	"0"	"-0.7689216"	"1.602177"	"4.282686"	"-3.646518"	"0"	"0"	"1"	"0"	"0"	
"0.3200004"	"1.56745"	"2.019999"	"0"	"-0.3406529"	"1.237525"	"4.282686"	"-3.646518"	"0"	"0"	"1"	"0"	"0"	
"0.4800003"	"0"	"2.019999"	"0"	"0.08761565"	"0.8728738"	"4.282686"	"-3.646518"	"1"	"0"	"0"	"0"	"1"	
"0.9600002"	"0.1045599"	"2.019999"	"0"	"0.6015379"	"0.4352917"	"4.282686"	"-3.646518"	"0"	"0"	"1"	"0"	"1"	
"1.36"	"0.2101355"	"2.019999"	"0"	"1.029806"	"0.07063991"	"4.282686"	"-3.646518"	"0"	"0"	"1"	"0"	"1"	
"1.760001"	"0.3116541"	"2.019999"	"0"	"1.458075"	"-0.2940119"	"4.282686"	"-3.646518"	"0"	"0"	"1"	"0"	"1"	
"2.080001"	"0.4164724"	"2.019999"	"0"	"1.886343"	"-0.6586637"	"4.282686"	"-3.646518"	"0"	"0"	"1"	"0"	"1"	
"2.080001"	"0.5205412"	"2.019999"	"0"	"2.285039"	"-1.023315"	"-4.282686"	"-3.646518"	"0"	"0"	"1"	"0"	"1"	
"2.080001"	"0"	"2.019999"	"0"	"1.856771"	"-1.387967"	"-4.282686"	"-3.646518"	"0"	"1"	"0"	"0"	"0"	
"1.840001"	"0"	"2.019999"	"0"	"1.342849"	"-1.825549"	"-4.282686"	"-3.646518"	"1"	"0"	"0"	"1"	"0"	
"1.44"	"0.1067762"	"2.019999"	"0"	"0.9145802"	"-2.190201"	"-4.282686"	"-3.646518"	"0"	"0"	"1"	"1"	"0"	
"1.36"	"0"	"2.019999"	"0"	"0"	"-0.12"	"0"	"-3"	"0"	"1"	"0"	"0"	"0"	
"1.36"	"0.1038113"	"2.019999"	"0"	"0"	"-0.48"	"0"	"-3"	"0"	"0"	"1"	"0"	"0"	
"1.36"	"0.208457"	"2.019999"	"0"	"0"	"-0.78"	"0"	"-3"	"0"	"0"	"1"	"0"	"0"	
"1.36"	"0.3136597"	"2.019999"	"0"	"0"	"-1.08"	"0"	"-3"	"0"	"0"	"1"	"0"	"0"	
"1.04"	"0"	"2.019999"	"0"	"0"	"-1.38"	"0"	"-3"	"1"	"0"	"0"	"1"	"0"	
"0.6400003"	"0.1008101"	"2.019999"	"0"	"0"	"-1.679999"	"0"	"-3"	"0"	"0"	"1"	"1"	"0"	
"0.2400004"	"0.2014923"	"2.019999"	"0"	"0"	"-1.979999"	"0"	"-3"	"0"	"0"	"1"	"1"	"0"	
"3.576279E-07"	"0"	"2.019999"	"0"	"-2.384186E-08"	"-2.122694"	"-1.192093E-06"	"3.15"	"0"	"1"	"0"	"0"	"0"	
"3.576279E-07"	"0.1018143"	"1.779999"	"3"	"-1.430511E-07"	"-1.807694"	"-1.192093E-06"	"3.15"	"0"	"0"	"1"	"0"	"0"	
"3.576279E-07"	"0.2074661"	"1.42"	"3"	"-2.861023E-07"	"-1.429695"	"-1.192093E-06"	"3.15"	"0"	"0"	"1"	"0"	"0"	
