MyPaddlePosition	MyPaddleVelocity	MyPaddleTimeAsIs	OpponentPaddle	OpponentVelocity	BallPositionX	BallPositionY	BallVelocityX	BallVelocityY	
"-1"	"0"	"1.384546"	"-2"	"0"	"0"	"-0.3"	"0"	"-3"	
"-1"	"0"	"1.414189"	"-2"	"0"	"0"	"-0.36"	"0"	"-3"	
"-1"	"0"	"1.439879"	"-2"	"0"	"0"	"-0.42"	"0"	"-3"	
"-1"	"0"	"1.46269"	"-2"	"0"	"0"	"-0.54"	"0"	"-3"	
"-1"	"0"	"1.487308"	"-2"	"0"	"0"	"-0.6"	"0"	"-3"	
"-1"	"0"	"1.510881"	"-2"	"0"	"0"	"-0.66"	"0"	"-3"	
"-1"	"0"	"1.533138"	"-2"	"0"	"0"	"-0.72"	"0"	"-3"	
"-1"	"0"	"1.55268"	"-2"	"0"	"0"	"-0.78"	"0"	"-3"	
"-1"	"0"	"1.575654"	"-2"	"0"	"0"	"-0.84"	"0"	"-3"	
"-1"	"0"	"1.59987"	"-2"	"0"	"0"	"-0.9"	"0"	"-3"	
"-1"	"0"	"1.632512"	"-2"	"0"	"0"	"-1.02"	"0"	"-3"	
"-1"	"0"	"1.655478"	"-2"	"0"	"0"	"-1.08"	"0"	"-3"	
"-1"	"0"	"1.677804"	"-2"	"0"	"0"	"-1.14"	"0"	"-3"	
"-1"	"0"	"1.69882"	"-2"	"0"	"0"	"-1.2"	"0"	"-3"	
"-1"	"0"	"1.72033"	"-2"	"0"	"0"	"-1.26"	"0"	"-3"	
"-1"	"0"	"1.75269"	"-2"	"0"	"0"	"-1.38"	"0"	"-3"	
"-1"	"0"	"1.771739"	"-2"	"0"	"0"	"-1.44"	"0"	"-3"	
"-1"	"0"	"1.804511"	"-2"	"0"	"0"	"-1.559999"	"0"	"-3"	
"-1"	"0"	"1.824594"	"-2"	"0"	"0"	"-1.619999"	"0"	"-3"	
"-1"	"0"	"1.854521"	"-2"	"0"	"0"	"-1.679999"	"0"	"-3"	
"-1"	"0"	"1.875163"	"-2"	"0"	"0"	"-1.739999"	"0"	"-3"	
"-1"	"0"	"1.895387"	"-2"	"0"	"0"	"-1.799999"	"0"	"-3"	
"-1"	"0"	"1.915198"	"-2"	"0"	"0"	"-1.859999"	"0"	"-3"	
"-1"	"0"	"1.937312"	"-2"	"0"	"0"	"-1.919999"	"0"	"-3"	
"-1"	"0"	"1.957591"	"-2"	"0"	"0"	"-1.979999"	"0"	"-3"	
"-1"	"0"	"1.987438"	"-2"	"0"	"0"	"-2.099999"	"0"	"-3"	
"-1"	"0"	"2.023086"	"-2"	"0"	"0"	"-2.219999"	"0"	"-3"	
"-1"	"0"	"2.044482"	"-2"	"0"	"0"	"-2.279999"	"0"	"-3"	
"-1"	"0"	"2.064409"	"-2"	"0"	"0"	"-2.339999"	"0"	"-3"	
"-1"	"0"	"2.090031"	"-2"	"0"	"0"	"0"	"0"	"0"	
"-1"	"0"	"2.112154"	"-2"	"0"	"0"	"0"	"0"	"-3"	
"-1"	"0"	"2.134566"	"-2"	"0"	"0"	"-0.06"	"0"	"-3"	
"-1"	"0"	"2.160192"	"-2"	"0"	"0"	"-0.12"	"0"	"-3"	
"-1"	"0"	"2.184944"	"-2"	"0"	"0"	"-0.24"	"0"	"-3"	
"-1"	"0"	"2.207055"	"-2"	"0"	"0"	"-0.3"	"0"	"-3"	
"-1"	"0"	"2.226278"	"-2"	"0"	"0"	"-0.36"	"0"	"-3"	
"-1"	"0"	"2.250624"	"-2"	"0"	"0"	"-0.42"	"0"	"-3"	
"-1"	"0"	"2.289407"	"-1.94"	"-3"	"0"	"-0.54"	"0"	"-3"	
"-1"	"0"	"2.310358"	"-1.88"	"-3"	"0"	"-0.6"	"0"	"-3"	
"-1"	"0"	"2.332835"	"-1.82"	"-3"	"0"	"-0.66"	"0"	"-3"	
"-1"	"0"	"2.352569"	"-1.76"	"-3"	"0"	"-0.72"	"0"	"-3"	
"-1"	"0"	"2.37559"	"-1.7"	"-3"	"0"	"-0.78"	"0"	"-3"	
"-1"	"0"	"2.40789"	"-1.58"	"-3"	"0"	"-0.9"	"0"	"-3"	
"-1"	"0"	"2.428891"	"-1.52"	"-3"	"0"	"-0.96"	"0"	"-3"	
"-1"	"0"	"2.44895"	"-1.460001"	"-3"	"0"	"-1.02"	"0"	"-3"	
"-1"	"0"	"2.468136"	"-1.400001"	"-3"	"0"	"-1.08"	"0"	"-3"	
"-1"	"0"	"2.491664"	"-1.340001"	"-3"	"0"	"-1.14"	"0"	"-3"	
"-1"	"0"	"2.514179"	"-1.280001"	"-3"	"0"	"-1.2"	"0"	"-3"	
"-1"	"0"	"2.53651"	"-1.220001"	"-3"	"0"	"-1.26"	"0"	"-3"	
"-1"	"0"	"2.555813"	"-1.160001"	"-3"	"0"	"-1.32"	"0"	"-3"	
"-1"	"0"	"2.581185"	"-1.100001"	"-3"	"0"	"-1.38"	"0"	"-3"	
"-1"	"0"	"2.603663"	"-0.9800009"	"-3"	"0"	"-1.5"	"0"	"-3"	
"-1"	"0"	"2.627768"	"-0.9200009"	"-3"	"0"	"-1.559999"	"0"	"-3"	
"-1"	"0"	"2.654273"	"-0.8600009"	"-3"	"0"	"-1.619999"	"0"	"-3"	
"-1"	"0"	"2.686562"	"-0.7400009"	"-3"	"0"	"-1.739999"	"0"	"-3"	
"-1"	"0"	"2.709269"	"-0.6800009"	"-3"	"0"	"-1.799999"	"0"	"-3"	
"-1"	"0"	"2.732847"	"-0.6200009"	"-3"	"0"	"-1.859999"	"0"	"-3"	
"-1"	"0"	"2.755309"	"-0.5600009"	"-3"	"0"	"-1.919999"	"0"	"-3"	
"-1"	"0"	"2.777777"	"-0.5000009"	"-3"	"0"	"-1.979999"	"0"	"-3"	
"-1"	"0"	"2.800745"	"-0.4400009"	"-3"	"0"	"-2.039999"	"0"	"-3"	
"-1"	"0"	"2.82851"	"-0.3200009"	"-3"	"0"	"-2.159999"	"0"	"-3"	
"-1"	"0"	"2.850054"	"-0.2600009"	"-3"	"0"	"-2.219999"	"0"	"-3"	
"-1"	"0"	"2.879305"	"-0.2000009"	"-3"	"0"	"-2.279999"	"0"	"-3"	
"-1"	"0"	"2.916059"	"-0.08000088"	"-3"	"0"	"0"	"0"	"0"	
"-1"	"0"	"2.93676"	"-0.02000088"	"-3"	"0"	"0"	"0"	"-3"	
