MyPaddlePosition	MyPaddleVelocity	MyPaddleTimeAsIs	OpponentPaddle	OpponentVelocity	BallPositionX	BallPositionY	BallVelocityX	BallVelocityY	
"1"	"0"	"1.180124"	"1"	"0"	"0"	"-0.24"	"0"	"-3"	
"1"	"0"	"2.382062"	"1"	"0"	"0"	"-0.3"	"0"	"-3"	
"1"	"0"	"3.607053"	"1"	"0"	"0"	"-0.36"	"0"	"-3"	
"1"	"0"	"4.853504"	"1"	"0"	"0"	"-0.42"	"0"	"-3"	
"1"	"0"	"6.121542"	"1"	"0"	"0"	"-0.48"	"0"	"-3"	
"1"	"0"	"7.411997"	"1"	"0"	"0"	"-0.54"	"0"	"-3"	
"1"	"0"	"8.724539"	"1"	"0"	"0"	"-0.6"	"0"	"-3"	
"1"	"0"	"10.05982"	"1"	"0"	"0"	"-0.72"	"0"	"-3"	
"1"	"0"	"11.41624"	"1"	"0"	"0"	"-0.78"	"0"	"-3"	
"1"	"0"	"12.79379"	"1"	"0"	"0"	"-0.84"	"0"	"-3"	
"1"	"0"	"14.19307"	"1"	"0"	"0"	"-0.9"	"0"	"-3"	
"1"	"0"	"15.61372"	"1"	"0"	"0"	"-0.96"	"0"	"-3"	
"1"	"0"	"17.05607"	"1"	"0"	"0"	"-1.02"	"0"	"-3"	
"1"	"0"	"18.51916"	"1"	"0"	"0"	"-1.08"	"0"	"-3"	
"1"	"0"	"20.00193"	"1"	"0"	"0"	"-1.14"	"0"	"-3"	
"1"	"0"	"21.50732"	"1"	"0"	"0"	"-1.2"	"0"	"-3"	
"1"	"0"	"23.03173"	"1"	"0"	"0"	"-1.26"	"0"	"-3"	
"1"	"0"	"24.5757"	"1"	"0"	"0"	"-1.32"	"0"	"-3"	
"1"	"0"	"26.14206"	"1"	"0"	"0"	"-1.38"	"0"	"-3"	
"1"	"0"	"27.72844"	"1"	"0"	"0"	"-1.44"	"0"	"-3"	
